annee;code_NAF1;libelle_NAF1;NAF1;code_NAF5;libelle_NAF5;NAF5;risque;nb_jours_arret_travail;nb_jours_arret_travail_txt
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0121Z;Culture de la vigne;0121Z - Culture de la vigne;Accidents du travail;29;29
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0121Z;Culture de la vigne;0121Z - Culture de la vigne;Maladies professionnelles;131;131
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0121Z;Culture de la vigne;0121Z - Culture de la vigne;Tous risques confondus;160;160
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0122Z;Culture de fruits tropicaux et subtropicaux;0122Z - Culture de fruits tropicaux et subtropicaux;Accidents de trajet;805;805
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0122Z;Culture de fruits tropicaux et subtropicaux;0122Z - Culture de fruits tropicaux et subtropicaux;Accidents du travail;11421;11421
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0122Z;Culture de fruits tropicaux et subtropicaux;0122Z - Culture de fruits tropicaux et subtropicaux;Maladies professionnelles;3502;3502
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0122Z;Culture de fruits tropicaux et subtropicaux;0122Z - Culture de fruits tropicaux et subtropicaux;Tous risques confondus;15728;15728
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0123Z;Culture d'agrumes;0123Z - Culture d'agrumes;Accidents de trajet;0;0
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0123Z;Culture d'agrumes;0123Z - Culture d'agrumes;Accidents du travail;0;0
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0123Z;Culture d'agrumes;0123Z - Culture d'agrumes;Maladies professionnelles;0;0
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0123Z;Culture d'agrumes;0123Z - Culture d'agrumes;Tous risques confondus;0;0
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0124Z;Culture de fruits à pépins et à noyau;0124Z - Culture de fruits à pépins et à noyau;Accidents de trajet;373;373
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0124Z;Culture de fruits à pépins et à noyau;0124Z - Culture de fruits à pépins et à noyau;Accidents du travail;1564;1564
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0124Z;Culture de fruits à pépins et à noyau;0124Z - Culture de fruits à pépins et à noyau;Maladies professionnelles;510;510
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0124Z;Culture de fruits à pépins et à noyau;0124Z - Culture de fruits à pépins et à noyau;Tous risques confondus;2447;2447
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0125Z;Culture d'autres fruits d'arbres ou d'arbustes et de fruits à coque;0125Z - Culture d'autres fruits d'arbres ou d'arbustes et de fruits à coque;Accidents de trajet;0;0
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0125Z;Culture d'autres fruits d'arbres ou d'arbustes et de fruits à coque;0125Z - Culture d'autres fruits d'arbres ou d'arbustes et de fruits à coque;Accidents du travail;0;0
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0125Z;Culture d'autres fruits d'arbres ou d'arbustes et de fruits à coque;0125Z - Culture d'autres fruits d'arbres ou d'arbustes et de fruits à coque;Maladies professionnelles;0;0
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0125Z;Culture d'autres fruits d'arbres ou d'arbustes et de fruits à coque;0125Z - Culture d'autres fruits d'arbres ou d'arbustes et de fruits à coque;Tous risques confondus;0;0
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0126Z;Culture de fruits oléagineux;0126Z - Culture de fruits oléagineux;Accidents de trajet;0;0
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0126Z;Culture de fruits oléagineux;0126Z - Culture de fruits oléagineux;Accidents du travail;0;0
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0126Z;Culture de fruits oléagineux;0126Z - Culture de fruits oléagineux;Maladies professionnelles;0;0
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0126Z;Culture de fruits oléagineux;0126Z - Culture de fruits oléagineux;Tous risques confondus;0;0
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0127Z;Culture de plantes à boissons;0127Z - Culture de plantes à boissons;Accidents de trajet;0;0
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0127Z;Culture de plantes à boissons;0127Z - Culture de plantes à boissons;Accidents du travail;0;0
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0127Z;Culture de plantes à boissons;0127Z - Culture de plantes à boissons;Maladies professionnelles;0;0
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0127Z;Culture de plantes à boissons;0127Z - Culture de plantes à boissons;Tous risques confondus;0;0
