annee;code_NAF5;libelle_NAF5;sexe
2020;2594Z;Fabrication de vis et de boulons;Hommes
2020;2599A;Fabrication d'articles métalliques ménagers;Femmes
2020;2599A;Fabrication d'articles métalliques ménagers;Hommes
2020;2599B;Fabrication d'autres articles métalliques;Femmes
2020;2599B;Fabrication d'autres articles métalliques;Hommes
2020;2611Z;Fabrication de composants électroniques;Femmes
2020;2611Z;Fabrication de composants électroniques;Hommes
2020;2612Z;Fabrication de cartes électroniques assemblées;Femmes
2020;2612Z;Fabrication de cartes électroniques assemblées;Hommes
2020;2620Z;Fabrication d'ordinateurs et d'équipements périphériques;Femmes
2020;2620Z;Fabrication d'ordinateurs et d'équipements périphériques;Hommes
2020;2630Z;Fabrication d'équipements de communication;Femmes
2020;2630Z;Fabrication d'équipements de communication;Hommes
2020;2640Z;Fabrication de produits électroniques grand public;Femmes
2020;2640Z;Fabrication de produits électroniques grand public;Hommes
2020;2651A;Fabrication d'équipements d'aide à la navigation;Femmes
2020;2651A;Fabrication d'équipements d'aide à la navigation;Hommes
2020;2651B;Fabrication d'instrumentation scientifique et technique;Femmes
2020;2651B;Fabrication d'instrumentation scientifique et technique;Hommes
2020;2652Z;Horlogerie;Femmes
2020;2652Z;Horlogerie;Hommes
2020;2660Z;Fabrication d'équipements d'irradiation médicale, d'équipements électromédicaux et électrothérapeutiques;Femmes
2020;2660Z;Fabrication d'équipements d'irradiation médicale, d'équipements électromédicaux et électrothérapeutiques;Hommes
