annee;code_NAF5;libelle_NAF5;sexe
2020;0812Z;Exploitation de gravières et sablières, extraction d'argiles et de kaolin;Femmes
2020;0812Z;Exploitation de gravières et sablières, extraction d'argiles et de kaolin;Hommes
2020;0891Z;Extraction des minéraux chimiques et d'engrais minéraux;Femmes
2020;0891Z;Extraction des minéraux chimiques et d'engrais minéraux;Hommes
2020;0892Z;Extraction de tourbe;Femmes
2020;0892Z;Extraction de tourbe;Hommes
2020;0893Z;Production de sel;Femmes
2020;0893Z;Production de sel;Hommes
2020;0899Z;Autres activités extractives n.c.a.;Femmes
2020;0899Z;Autres activités extractives n.c.a.;Hommes
2020;0910Z;Activités de soutien à l'extraction d'hydrocarbures;Femmes
2020;0910Z;Activités de soutien à l'extraction d'hydrocarbures;Hommes
2020;0990Z;Activités de soutien aux autres industries extractives;Femmes
2020;0990Z;Activités de soutien aux autres industries extractives;Hommes
2020;1011Z;Transformation et conservation de la viande de boucherie;Femmes
2020;1011Z;Transformation et conservation de la viande de boucherie;Hommes
2020;1012Z;Transformation et conservation de la viande de volaille;Femmes
2020;1012Z;Transformation et conservation de la viande de volaille;Hommes
2020;1013A;Préparation industrielle de produits à base de viande;Femmes
2020;1013A;Préparation industrielle de produits à base de viande;Hommes
2020;1013B;Charcuterie;Femmes
2020;1013B;Charcuterie;Hommes
2020;1020Z;Transformation et conservation de poisson, de crustacés et de mollusques;Femmes
2020;1020Z;Transformation et conservation de poisson, de crustacés et de mollusques;Hommes
2020;1031Z;Transformation et conservation de pommes de terre;Femmes
2020;1031Z;Transformation et conservation de pommes de terre;Hommes
2020;1032Z;Préparation de jus de fruits et légumes;Femmes
2020;1032Z;Préparation de jus de fruits et légumes;Hommes
2020;1039A;Autre transformation et conservation de légumes;Femmes
2020;1039A;Autre transformation et conservation de légumes;Hommes
2020;1039B;Transformation et conservation de fruits;Femmes
2020;1039B;Transformation et conservation de fruits;Hommes
2020;1041A;Fabrication d'huiles et graisses brutes;Femmes
2020;1041A;Fabrication d'huiles et graisses brutes;Hommes
2020;1041B;Fabrication d'huiles et graisses raffinées;Femmes
2020;1041B;Fabrication d'huiles et graisses raffinées;Hommes
2020;1042Z;Fabrication de margarine et graisses comestibles similaires;Femmes
2020;1042Z;Fabrication de margarine et graisses comestibles similaires;Hommes
2020;1051A;Fabrication de lait liquide et de produits frais;Femmes
2020;1051A;Fabrication de lait liquide et de produits frais;Hommes
2020;1051B;Fabrication de beurre;Femmes
2020;1051B;Fabrication de beurre;Hommes
2020;1051C;Fabrication de fromage;Femmes
2020;1051C;Fabrication de fromage;Hommes
2020;1051D;Fabrication d'autres produits laitiers;Femmes
2020;1051D;Fabrication d'autres produits laitiers;Hommes
2020;1052Z;Fabrication de glaces et sorbets;Femmes
2020;1052Z;Fabrication de glaces et sorbets;Hommes
2020;1061A;Meunerie;Femmes
2020;1061A;Meunerie;Hommes
2020;1061B;Autres activités du travail des grains;Femmes
2020;1061B;Autres activités du travail des grains;Hommes
2020;1062Z;Fabrication de produits amylacés;Femmes
2020;1062Z;Fabrication de produits amylacés;Hommes
2020;1071A;Fabrication industrielle de pain et de pâtisserie fraîche;Femmes
2020;1071A;Fabrication industrielle de pain et de pâtisserie fraîche;Hommes
2020;1071B;Cuisson de produits de boulangerie;Femmes
2020;1071B;Cuisson de produits de boulangerie;Hommes
2020;1071C;Boulangerie et boulangerie-pâtisserie;Femmes
2020;1071C;Boulangerie et boulangerie-pâtisserie;Hommes
2020;1071D;Pâtisserie;Femmes
2020;1071D;Pâtisserie;Hommes
2020;1072Z;Fabrication de biscuits, biscottes et pâtisseries de conservation;Femmes
2020;1072Z;Fabrication de biscuits, biscottes et pâtisseries de conservation;Hommes
2020;1073Z;Fabrication de pâtes alimentaires;Femmes
2020;1073Z;Fabrication de pâtes alimentaires;Hommes
2020;1081Z;Fabrication de sucre;Femmes
2020;1081Z;Fabrication de sucre;Hommes
2020;1082Z;Fabrication de cacao, chocolat et de produits de confiserie;Femmes
2020;1082Z;Fabrication de cacao, chocolat et de produits de confiserie;Hommes
2020;1083Z;Transformation du thé et du café;Femmes
2020;1083Z;Transformation du thé et du café;Hommes
2020;1084Z;Fabrication de condiments et assaisonnements;Femmes
2020;1084Z;Fabrication de condiments et assaisonnements;Hommes
2020;1085Z;Fabrication de plats préparés;Femmes
2020;1085Z;Fabrication de plats préparés;Hommes
2020;1086Z;Fabrication d'aliments homogénéisés et diététiques;Femmes
2020;1086Z;Fabrication d'aliments homogénéisés et diététiques;Hommes
2020;1089Z;Fabrication d'autres produits alimentaires n.c.a.;Femmes
2020;1089Z;Fabrication d'autres produits alimentaires n.c.a.;Hommes
2020;1091Z;Fabrication d'aliments pour animaux de ferme;Femmes
2020;1091Z;Fabrication d'aliments pour animaux de ferme;Hommes
2020;1092Z;Fabrication d'aliments pour animaux de compagnie;Femmes
2020;1092Z;Fabrication d'aliments pour animaux de compagnie;Hommes
2020;1101Z;Production de boissons alcooliques distillées;Femmes
2020;1101Z;Production de boissons alcooliques distillées;Hommes
2020;1102A;Fabrication de vins effervescents;Femmes
2020;1102A;Fabrication de vins effervescents;Hommes
2020;1102B;Vinification;Femmes
2020;1102B;Vinification;Hommes
2020;1103Z;Fabrication de cidre et de vins de fruits;Femmes
2020;1103Z;Fabrication de cidre et de vins de fruits;Hommes
2020;1104Z;Production d'autres boissons fermentées non distillées;Femmes
2020;1104Z;Production d'autres boissons fermentées non distillées;Hommes
2020;1105Z;Fabrication de bière;Femmes
2020;1105Z;Fabrication de bière;Hommes
2020;1106Z;Fabrication de malt;Femmes
2020;1106Z;Fabrication de malt;Hommes
2020;1107A;Industrie des eaux de table;Femmes
2020;1107A;Industrie des eaux de table;Hommes
2020;1107B;Production de boissons rafraîchissantes;Femmes
2020;1107B;Production de boissons rafraîchissantes;Hommes
2020;1200Z;Fabrication de produits à base de tabac;Femmes
2020;1200Z;Fabrication de produits à base de tabac;Hommes
2020;1310Z;Préparation de fibres textiles et filature;Femmes
2020;1310Z;Préparation de fibres textiles et filature;Hommes
2020;1320Z;Tissage;Femmes
2020;1320Z;Tissage;Hommes
2020;1330Z;Ennoblissement textile;Femmes
2020;1330Z;Ennoblissement textile;Hommes
2020;1391Z;Fabrication d'étoffes à mailles;Femmes
2020;1391Z;Fabrication d'étoffes à mailles;Hommes
2020;1392Z;Fabrication d'articles textiles, sauf habillement;Femmes
2020;1392Z;Fabrication d'articles textiles, sauf habillement;Hommes
2020;1393Z;Fabrication de tapis et moquettes;Femmes
2020;1393Z;Fabrication de tapis et moquettes;Hommes
2020;1394Z;Fabrication de ficelles, cordes et filets;Femmes
2020;1394Z;Fabrication de ficelles, cordes et filets;Hommes
2020;1395Z;Fabrication de non-tissés, sauf habillement;Femmes
2020;1395Z;Fabrication de non-tissés, sauf habillement;Hommes
2020;1396Z;Fabrication d'autres textiles techniques et industriels;Femmes
2020;1396Z;Fabrication d'autres textiles techniques et industriels;Hommes
2020;1399Z;Fabrication d'autres textiles n.c.a.;Femmes
2020;1399Z;Fabrication d'autres textiles n.c.a.;Hommes
2020;1411Z;Fabrication de vêtements en cuir;Femmes
2020;1411Z;Fabrication de vêtements en cuir;Hommes
2020;1412Z;Fabrication de vêtements de travail;Femmes
2020;1412Z;Fabrication de vêtements de travail;Hommes
2020;1413Z;Fabrication de vêtements de dessus;Femmes
2020;1413Z;Fabrication de vêtements de dessus;Hommes
2020;1414Z;Fabrication de vêtements de dessous;Femmes
2020;1414Z;Fabrication de vêtements de dessous;Hommes
2020;1419Z;Fabrication d'autres vêtements et accessoires;Femmes
2020;1419Z;Fabrication d'autres vêtements et accessoires;Hommes
2020;1420Z;Fabrication d'articles en fourrure;Femmes
2020;1420Z;Fabrication d'articles en fourrure;Hommes
2020;1431Z;Fabrication d'articles chaussants à mailles;Femmes
2020;1431Z;Fabrication d'articles chaussants à mailles;Hommes
2020;1439Z;Fabrication d'autres articles à mailles;Femmes
2020;1439Z;Fabrication d'autres articles à mailles;Hommes
2020;1511Z;"Apprêt et tannage des cuirs ; préparation et teinture des fourrures";Femmes
2020;1511Z;"Apprêt et tannage des cuirs ; préparation et teinture des fourrures";Hommes
2020;1512Z;Fabrication d'articles de voyage, de maroquinerie et de sellerie;Femmes
2020;1512Z;Fabrication d'articles de voyage, de maroquinerie et de sellerie;Hommes
2020;1520Z;Fabrication de chaussures;Femmes
2020;1520Z;Fabrication de chaussures;Hommes
2020;1610A;Sciage et rabotage du bois, hors imprégnation;Femmes
2020;1610A;Sciage et rabotage du bois, hors imprégnation;Hommes
2020;1610B;Imprégnation du bois;Femmes
2020;1610B;Imprégnation du bois;Hommes
2020;1621Z;Fabrication de placage et de panneaux de bois;Femmes
2020;1621Z;Fabrication de placage et de panneaux de bois;Hommes
2020;1622Z;Fabrication de parquets assemblés;Femmes
2020;1622Z;Fabrication de parquets assemblés;Hommes
2020;1623Z;Fabrication de charpentes et d'autres menuiseries;Femmes
2020;1623Z;Fabrication de charpentes et d'autres menuiseries;Hommes
2020;1624Z;Fabrication d'emballages en bois;Femmes
