annee;risque;code_naf1;libelle_naf1;naf1;code_naf5;libelle_naf5;naf5;nb_sinistres;nb_salaries;indice_frequence;nb_sinistres_int;nb_salaries_int;indice_frequence_int
2024;Maladies professionnelles;C;Industrie manufacturière;C - Industrie manufacturière;2364Z;Fabrication de mortiers et bétons secs;2364Z - Fabrication de mortiers et bétons secs;8;2040;NC;8;2040;
2024;Maladies professionnelles;C;Industrie manufacturière;C - Industrie manufacturière;2365Z;Fabrication d'ouvrages en fibre-ciment;2365Z - Fabrication d'ouvrages en fibre-ciment;9;347;NC;9;347;
2024;Maladies professionnelles;C;Industrie manufacturière;C - Industrie manufacturière;2369Z;Fabrication d'autres ouvrages en béton, en ciment ou en plâtre;2369Z - Fabrication d'autres ouvrages en béton, en ciment ou en plâtre;7;1305;NC;7;1305;
2024;Maladies professionnelles;C;Industrie manufacturière;C - Industrie manufacturière;2370Z;Taille, façonnage et finissage de pierres;2370Z - Taille, façonnage et finissage de pierres;47;7266;NC;47;7266;
2024;Maladies professionnelles;C;Industrie manufacturière;C - Industrie manufacturière;2391Z;Fabrication de produits abrasifs;2391Z - Fabrication de produits abrasifs;5;894;NC;5;894;
2024;Maladies professionnelles;C;Industrie manufacturière;C - Industrie manufacturière;2399Z;Fabrication d'autres produits minéraux non métalliques n.c.a.;2399Z - Fabrication d'autres produits minéraux non métalliques n.c.a.;19;7743;NC;19;7743;
2024;Maladies professionnelles;C;Industrie manufacturière;C - Industrie manufacturière;2410Z;Sidérurgie;2410Z - Sidérurgie;131;24775;NC;131;24775;
2024;Maladies professionnelles;C;Industrie manufacturière;C - Industrie manufacturière;2420Z;Fabrication de tubes, tuyaux, profilés creux et accessoires correspondants en acier;2420Z - Fabrication de tubes, tuyaux, profilés creux et accessoires correspondants en acier;32;6209;NC;32;6209;
2024;Maladies professionnelles;C;Industrie manufacturière;C - Industrie manufacturière;2431Z;Étirage à froid de barres;2431Z - Étirage à froid de barres;0;322;NC;0;322;
2024;Maladies professionnelles;C;Industrie manufacturière;C - Industrie manufacturière;2432Z;Laminage à froid de feuillards;2432Z - Laminage à froid de feuillards;6;281;NC;6;281;
2024;Maladies professionnelles;C;Industrie manufacturière;C - Industrie manufacturière;2433Z;Profilage à froid par formage ou pliage;2433Z - Profilage à froid par formage ou pliage;15;4155;NC;15;4155;
2024;Maladies professionnelles;C;Industrie manufacturière;C - Industrie manufacturière;2434Z;Tréfilage à froid;2434Z - Tréfilage à froid;9;1100;NC;9;1100;
2024;Maladies professionnelles;C;Industrie manufacturière;C - Industrie manufacturière;2441Z;Production de métaux précieux;2441Z - Production de métaux précieux;0;321;NC;0;321;
2024;Maladies professionnelles;C;Industrie manufacturière;C - Industrie manufacturière;2442Z;Métallurgie de l'aluminium;2442Z - Métallurgie de l'aluminium;30;7756;NC;30;7756;
2024;Maladies professionnelles;C;Industrie manufacturière;C - Industrie manufacturière;2443Z;Métallurgie du plomb, du zinc ou de l'étain;2443Z - Métallurgie du plomb, du zinc ou de l'étain;2;1053;NC;2;1053;
2024;Maladies professionnelles;C;Industrie manufacturière;C - Industrie manufacturière;2444Z;Métallurgie du cuivre;2444Z - Métallurgie du cuivre;13;1631;NC;13;1631;
2024;Maladies professionnelles;C;Industrie manufacturière;C - Industrie manufacturière;2445Z;Métallurgie des autres métaux non ferreux;2445Z - Métallurgie des autres métaux non ferreux;14;4184;NC;14;4184;
2024;Maladies professionnelles;C;Industrie manufacturière;C - Industrie manufacturière;2446Z;Élaboration et transformation de matières nucléaires;2446Z - Élaboration et transformation de matières nucléaires;6;8496;NC;6;8496;
2024;Maladies professionnelles;C;Industrie manufacturière;C - Industrie manufacturière;2451Z;Fonderie de fonte;2451Z - Fonderie de fonte;80;8120;NC;80;8120;
2024;Maladies professionnelles;C;Industrie manufacturière;C - Industrie manufacturière;2452Z;Fonderie d'acier;2452Z - Fonderie d'acier;22;2675;NC;22;2675;
2024;Maladies professionnelles;C;Industrie manufacturière;C - Industrie manufacturière;2453Z;Fonderie de métaux légers;2453Z - Fonderie de métaux légers;35;4945;NC;35;4945;
2024;Maladies professionnelles;C;Industrie manufacturière;C - Industrie manufacturière;2454Z;Fonderie d'autres métaux non ferreux;2454Z - Fonderie d'autres métaux non ferreux;26;2888;NC;26;2888;
2024;Maladies professionnelles;C;Industrie manufacturière;C - Industrie manufacturière;2511Z;Fabrication de structures métalliques et de parties de structures;2511Z - Fabrication de structures métalliques et de parties de structures;230;53731;NC;230;53731;
2024;Maladies professionnelles;C;Industrie manufacturière;C - Industrie manufacturière;2512Z;Fabrication de portes et fenêtres en métal;2512Z - Fabrication de portes et fenêtres en métal;126;22144;NC;126;22144;
2024;Maladies professionnelles;C;Industrie manufacturière;C - Industrie manufacturière;2521Z;Fabrication de radiateurs et de chaudières pour le chauffage central;2521Z - Fabrication de radiateurs et de chaudières pour le chauffage central;23;4318;NC;23;4318;
2024;Maladies professionnelles;C;Industrie manufacturière;C - Industrie manufacturière;2529Z;Fabrication d'autres réservoirs, citernes et conteneurs métalliques;2529Z - Fabrication d'autres réservoirs, citernes et conteneurs métalliques;13;2958;NC;13;2958;
2024;Maladies professionnelles;C;Industrie manufacturière;C - Industrie manufacturière;2530Z;Fabrication de générateurs de vapeur, à l'exception des chaudières pour le chauffage central;2530Z - Fabrication de générateurs de vapeur, à l'exception des chaudières pour le chauffage central;NS;NS;NC;;;
2024;Maladies professionnelles;C;Industrie manufacturière;C - Industrie manufacturière;2540Z;Fabrication d'armes et de munitions;2540Z - Fabrication d'armes et de munitions;9;5160;NC;9;5160;
2024;Maladies professionnelles;C;Industrie manufacturière;C - Industrie manufacturière;2550A;"Forge, estampage, matriçage ; métallurgie des poudres";"2550A - Forge, estampage, matriçage ; métallurgie des poudres";52;10412;NC;52;10412;
2024;Maladies professionnelles;C;Industrie manufacturière;C - Industrie manufacturière;2550B;Découpage, emboutissage;2550B - Découpage, emboutissage;129;25062;NC;129;25062;
