annee;code_NAF5;libelle_NAF5;risque;nb_jours_arret_travail
2015;0170Z;Chasse, piégeage et services annexes;Accidents de trajet;0.0
2015;0170Z;Chasse, piégeage et services annexes;Accidents du travail;0.0
2015;0170Z;Chasse, piégeage et services annexes;Maladies professionnelles;0.0
2015;0210Z;Sylviculture et autres activités forestières;Accidents de trajet;0.0
2015;0210Z;Sylviculture et autres activités forestières;Accidents du travail;384.0
2015;0210Z;Sylviculture et autres activités forestières;Maladies professionnelles;0.0
2015;0220Z;Exploitation forestière;Accidents de trajet;5.0
2015;0220Z;Exploitation forestière;Accidents du travail;2949.0
2015;0220Z;Exploitation forestière;Maladies professionnelles;733.0
2015;0230Z;Récolte de produits forestiers non ligneux poussant à l'état sauvage;Accidents de trajet;0.0
2015;0230Z;Récolte de produits forestiers non ligneux poussant à l'état sauvage;Accidents du travail;0.0
2015;0230Z;Récolte de produits forestiers non ligneux poussant à l'état sauvage;Maladies professionnelles;0.0
2015;0240Z;Services de soutien à l'exploitation forestière;Accidents de trajet;100.0
2015;0240Z;Services de soutien à l'exploitation forestière;Accidents du travail;1099.0
2015;0240Z;Services de soutien à l'exploitation forestière;Maladies professionnelles;0.0
2015;0311Z;Pêche en mer;Accidents de trajet;0.0
2015;0311Z;Pêche en mer;Accidents du travail;1467.0
2015;0311Z;Pêche en mer;Maladies professionnelles;739.0
2015;0312Z;Pêche en eau douce;Accidents de trajet;0.0
2015;0312Z;Pêche en eau douce;Accidents du travail;0.0
2015;0312Z;Pêche en eau douce;Maladies professionnelles;0.0
2015;0321Z;Aquaculture en mer;Accidents de trajet;224.0
2015;0321Z;Aquaculture en mer;Accidents du travail;241.0
2015;0321Z;Aquaculture en mer;Maladies professionnelles;0.0
2015;0322Z;Aquaculture en eau douce;Accidents de trajet;0.0
2015;0322Z;Aquaculture en eau douce;Accidents du travail;183.0
2015;0322Z;Aquaculture en eau douce;Maladies professionnelles;0.0
2015;0510Z;Extraction de houille;Accidents de trajet;0.0
2015;0510Z;Extraction de houille;Accidents du travail;0.0
2015;0510Z;Extraction de houille;Maladies professionnelles;
2015;0520Z;Extraction de lignite;Accidents de trajet;0.0
2015;0520Z;Extraction de lignite;Accidents du travail;0.0
2015;0520Z;Extraction de lignite;Maladies professionnelles;0.0
2015;0610Z;Extraction de pétrole brut;Accidents de trajet;0.0
2015;0610Z;Extraction de pétrole brut;Accidents du travail;67.0
2015;0610Z;Extraction de pétrole brut;Maladies professionnelles;0.0
2015;0620Z;Extraction de gaz naturel;Accidents de trajet;0.0
2015;0620Z;Extraction de gaz naturel;Accidents du travail;0.0
2015;0620Z;Extraction de gaz naturel;Maladies professionnelles;
2015;0710Z;Extraction de minerais de fer;Accidents de trajet;0.0
2015;0710Z;Extraction de minerais de fer;Accidents du travail;0.0
2015;0710Z;Extraction de minerais de fer;Maladies professionnelles;
2015;0721Z;Extraction de minerais d'uranium et de thorium;Accidents de trajet;0.0
2015;0721Z;Extraction de minerais d'uranium et de thorium;Accidents du travail;0.0
2015;0721Z;Extraction de minerais d'uranium et de thorium;Maladies professionnelles;0.0
2015;0729Z;Extraction d'autres minerais de métaux non ferreux;Accidents de trajet;0.0
2015;0729Z;Extraction d'autres minerais de métaux non ferreux;Accidents du travail;1099.0
2015;0729Z;Extraction d'autres minerais de métaux non ferreux;Maladies professionnelles;0.0
2015;0811Z;Extraction de pierres ornementales et de construction, de calcaire industriel, de gypse, de craie et d'ardoise;Accidents de trajet;1288.0
2015;0811Z;Extraction de pierres ornementales et de construction, de calcaire industriel, de gypse, de craie et d'ardoise;Accidents du travail;12389.0
2015;0811Z;Extraction de pierres ornementales et de construction, de calcaire industriel, de gypse, de craie et d'ardoise;Maladies professionnelles;4076.0
2015;0812Z;Exploitation de gravières et sablières, extraction d'argiles et de kaolin;Accidents de trajet;2554.0
2015;0812Z;Exploitation de gravières et sablières, extraction d'argiles et de kaolin;Accidents du travail;29037.0
2015;0812Z;Exploitation de gravières et sablières, extraction d'argiles et de kaolin;Maladies professionnelles;7442.0
